PIBE,IDH,IDE,IDE_MUJERES,IDH_MUJERES,Krugman
223043,796,719,725,780,363218554
576310,809,762,772,795,530623021
157813,804,775,784,788,879438667
517912,769,706,704,750,9048295
260493,696,601,585,671,731124645
573579,784,737,747,767,779871954
3139561,837,851,853,818,1197541623
605801,797,740,735,777,732392746
109496,788,720,729,773,357965966
204699,769,703,716,754,725334194
706016,756,660,666,740,888498091
240560,714,644,644,694,720114213
271360,758,701,704,740,367638199
1216771,788,714,716,770,440099725
1578335,784,744,747,765,845948331
424021,744,642,649,728,369504689
200326,776,716,722,760,909509919
120634,776,735,753,762,290461785
1377526,807,758,755,787,932861337
252285,708,627,625,689,321106987
599132,741,676,677,722,694187462
403905,787,733,729,767,91479144
290341,780,734,736,762,706323593
369793,760,689,698,744,674082313
399403,803,762,772,788,859429715
579933,802,774,785,786,774419383
448555,772,719,719,754,695164281
518448,791,736,740,774,262919428
104653,770,713,719,754,499425701
802758,743,671,668,723,351035624
264718,772,708,703,752,240040721
152492,764,678,694,751,343675721